language,parse_state,reserved_word_set_id
go,1,1
go,2,1
go,3,1
go,4,1
go,5,1
go,6,1
go,7,1
go,8,1
go,9,2
go,10,2
go,11,3
go,12,2
go,13,1
go,14,1
go,15,3
go,16,3
go,17,3
go,18,1
go,19,3
go,20,3
go,21,4
go,22,5
go,23,1
go,24,1
go,25,1
go,26,1
go,27,5
go,28,6
go,29,5
go,30,5
go,31,5
go,32,5
go,33,1
go,34,1
go,35,5
go,36,1
go,37,5
go,38,5
go,39,5
go,40,1
go,41,5
go,42,5
go,43,5
go,44,5
go,45,1
go,46,1
go,47,1
go,48,1
go,49,1
go,50,5
go,51,1
go,52,5
go,53,5
go,54,5
go,55,1
go,56,1
go,57,5
go,58,1
go,59,1
go,60,5
go,61,5
go,62,5
go,63,5
go,64,5
go,65,5
go,66,5
go,67,5
go,68,5
go,69,5
go,70,5
go,71,1
go,72,1
go,73,1
go,74,1
go,75,1
go,76,5
go,77,1
go,78,5
go,79,5
go,80,5
go,81,5
go,82,5
go,83,5
go,84,5
go,85,5
go,86,5
go,87,1
go,88,1
go,89,1
go,90,5
go,91,1
go,92,5
go,93,5
go,94,5
go,95,5
go,96,1
go,97,5
go,98,5
go,99,5
go,100,5
go,101,5
go,102,1
go,103,5
go,104,5
go,105,5
go,106,1
go,107,5
go,108,1
go,109,1
go,110,1
go,111,5
go,112,5
go,113,5
go,114,1
go,115,5
go,116,5
go,117,1
go,118,1
go,119,5
go,120,5
go,121,1
go,122,1
go,123,1
go,124,1
go,125,5
go,126,5
go,127,1
go,128,5
go,129,5
go,130,1
go,131,5
go,132,5
go,133,5
go,134,5
go,135,5
go,136,5
go,137,5
go,138,5
go,139,5
go,140,5
go,141,5
go,142,5
go,143,5
go,144,5
go,145,5
go,146,5
go,147,5
go,148,5
go,149,5
go,150,5
go,151,5
go,152,5
go,153,5
go,154,5
go,155,5
go,156,5
go,157,5
go,158,5
go,159,5
go,160,1
go,161,1
go,162,5
go,163,1
go,164,1
go,165,1
go,166,1
go,167,1
go,168,1
go,169,1
go,170,1
go,171,1
go,172,1
go,173,5
go,174,5
go,175,1
go,176,5
go,177,5
go,178,5
go,179,5
go,180,5
go,181,5
go,182,5
go,183,5
go,184,5
go,185,5
go,186,1
go,187,1
go,188,5
go,189,1
go,190,5
go,191,5
go,192,5
go,193,5
go,194,5
go,195,1
go,196,5
go,197,5
go,198,5
go,199,5
go,200,5
go,201,1
go,202,1
go,203,5
go,204,5
go,205,5
go,206,1
go,207,5
go,208,5
go,209,5
go,210,1
go,211,1
go,212,1
go,213,5
go,214,1
go,215,5
go,216,5
go,217,5
go,218,5
go,219,5
go,220,5
go,221,5
go,222,5
go,223,5
go,224,5
go,225,5
go,226,5
go,227,1
go,228,1
go,229,1
go,230,1
go,231,1
go,232,1
go,233,1
go,234,1
go,235,1
go,236,1
go,241,1
go,351,6
go,364,6
go,368,1
go,392,6
go,393,6
go,439,5
go,449,5
go,452,5
go,453,1
go,454,1
go,459,1
go,460,1
go,492,1
go,493,1
go,496,1
go,498,5
go,500,1
go,502,1
go,510,5
go,511,5
go,519,5
go,520,5
go,521,5
go,523,5
go,526,5
go,527,5
go,529,1
go,535,1
go,540,5
go,541,5
go,543,1
go,569,5
go,583,5
go,584,5
go,585,5
go,590,5
go,591,1
go,592,5
go,594,5
go,595,5
go,596,5
go,601,5
go,603,5
go,606,1
go,607,5
go,610,5
go,612,1
go,614,1
go,616,5
go,619,5
go,621,5
go,623,5
go,626,1
go,629,1
go,635,1
go,640,5
go,641,1
go,642,5
go,644,1
go,645,1
go,647,5
go,653,5
go,656,5
go,657,5
go,658,5
go,659,5
go,660,5
go,661,1
go,666,1
go,668,1
go,671,5
go,674,1
go,675,1
go,680,1
go,682,5
go,683,5
go,685,1
go,686,5
go,688,1
go,692,1
go,694,5
go,695,5
go,697,5
go,698,5
go,699,5
go,701,5
go,702,5
go,703,5
go,704,1
go,705,5
go,706,1
go,707,1
go,708,5
go,709,5
go,710,1
go,711,5
go,712,1
go,713,5
go,714,1
go,715,1
go,716,5
go,717,1
go,718,5
go,719,5
go,720,5
go,721,5
go,722,5
go,723,5
go,724,1
go,725,1
go,726,5
go,728,5
go,729,5
go,730,5
go,731,5
go,732,5
go,733,5
go,734,5
go,735,5
go,736,5
go,737,5
go,738,1
go,739,5
go,740,5
go,741,5
go,742,1
go,743,1
go,744,1
go,745,5
go,746,1
go,747,1
go,748,5
go,749,5
go,750,5
go,751,5
go,752,1
go,753,1
go,754,1
go,755,5
go,756,5
go,757,5
go,758,1
go,759,5
go,760,1
go,761,5
go,762,5
go,763,5
go,764,5
go,765,5
go,766,1
go,767,5
go,768,5
go,769,5
go,770,5
go,771,5
go,772,5
go,773,5
go,774,5
go,775,5
go,776,1
go,777,1
go,778,1
go,779,1
go,780,1
go,781,1
go,782,1
go,783,6
go,784,6
go,785,6
go,786,6
go,787,6
go,788,6
go,789,5
go,790,5
go,791,5
go,792,5
go,793,5
go,794,5
go,795,5
go,796,5
go,802,5
go,820,5
go,828,1
go,839,5
go,840,1
go,841,5
go,842,5
go,843,1
go,846,1
go,849,1
go,850,1
go,851,1
go,853,1
go,854,1
go,857,1
go,865,1
go,890,1
go,891,1
go,899,1
go,902,1
go,903,1
go,904,1
go,906,1
go,907,1
go,909,1
go,911,7
go,912,1
go,913,7
go,1056,1
go,1065,1
go,1066,1
go,1068,1
go,1079,1
go,1090,1
go,1091,1
go,1113,1
go,1122,1
go,1133,1
go,1140,1
go,1152,1
go,1173,1
go,1181,1
go,1195,1
go,1222,1
go,1226,1
go,1245,1
go,1268,1
go,1270,1
go,1273,1
go,1282,1
go,1285,1
go,1290,1
go,1294,1
go,1295,1
go,1297,1
go,1308,1
go,1310,1
go,1317,1
go,1325,1
go,1329,1
go,1345,1
go,1351,1
go,1362,1
go,1368,1
go,1379,1
go,1405,1
go,1415,1
go,1432,1
go,1438,1
python,1,1
python,2,1
python,3,1
python,4,1
python,5,1
python,6,1
python,7,1
python,8,1
python,9,1
python,10,1
python,11,1
python,12,1
python,13,1
python,14,2
python,15,1
python,16,1
python,17,1
python,18,1
python,19,1
python,20,1
python,21,1
python,22,1
python,23,1
python,24,1
python,25,1
python,26,1
python,27,1
python,28,1
python,29,1
python,30,1
python,31,1
python,32,1
python,33,1
python,34,1
python,35,1
python,36,1
python,37,1
python,38,1
python,39,1
python,40,1
python,41,1
python,42,1
python,43,1
python,44,1
python,45,2
python,46,1
python,47,1
python,48,1
python,49,1
python,50,1
python,51,1
python,52,1
python,53,1
python,54,1
python,55,1
python,56,1
python,57,1
python,58,1
python,59,1
python,60,1
python,61,1
python,62,1
python,63,1
python,64,1
python,65,1
python,66,1
python,67,1
python,68,2
python,69,1
python,70,1
python,71,1
python,72,1
python,73,2
python,74,1
python,75,1
python,76,1
python,77,1
python,78,1
python,79,1
python,80,1
python,81,1
python,82,1
python,83,1
python,84,1
python,85,1
python,86,1
python,87,1
python,88,1
python,89,1
python,90,1
python,91,1
python,92,1
python,93,1
python,94,1
python,95,1
python,96,1
python,97,1
python,98,1
python,99,1
python,100,1
python,101,3
python,102,1
python,103,1
python,104,1
python,105,1
python,106,1
python,107,1
python,108,1
python,109,1
python,110,1
python,111,1
python,112,1
python,113,1
python,114,1
python,115,1
python,116,1
python,117,1
python,118,1
python,119,1
python,120,1
python,121,1
python,122,1
python,123,1
python,124,3
python,125,1
python,126,1
python,127,1
python,128,1
python,129,1
python,130,1
python,131,1
python,132,1
python,133,1
python,134,1
python,135,1
python,136,1
python,137,1
python,138,1
python,139,1
python,140,1
python,141,1
python,142,1
python,143,3
python,144,3
python,145,3
python,146,3
python,147,1
python,148,1
python,149,1
python,150,1
python,151,4
python,152,5
python,153,5
python,154,1
python,155,5
python,156,4
python,157,6
python,158,4
python,159,4
python,160,6
python,161,6
python,162,7
python,163,6
python,164,6
python,165,1
python,166,6
python,167,6
python,168,1
python,169,6
python,170,1
python,171,4
python,172,4
python,173,6
python,174,7
python,175,1
python,176,1
python,177,6
python,178,6
python,179,7
python,180,6
python,181,4
python,182,1
python,183,1
python,184,1
python,185,1
python,186,8
python,187,1
python,188,1
python,189,8
python,190,1
python,191,1
python,192,1
python,193,1
python,194,1
python,195,1
python,196,1
python,197,8
python,198,1
python,199,1
python,200,8
python,201,1
python,202,1
python,203,8
python,204,1
python,205,1
python,206,8
python,207,1
python,208,1
python,209,8
python,210,1
python,211,1
python,212,8
python,213,1
python,214,1
python,215,1
python,216,1
python,217,1
python,218,1
python,219,1
python,220,1
python,221,9
python,222,9
python,223,9
python,224,9
python,225,9
python,226,9
python,227,1
python,228,1
python,229,1
python,230,1
python,231,1
python,232,1
python,233,9
python,234,9
python,235,1
python,236,1
python,237,1
python,238,1
python,239,1
python,240,9
python,241,1
python,242,1
python,243,10
python,244,1
python,245,1
python,246,9
python,247,9
python,248,9
python,249,9
python,250,9
python,251,9
python,252,9
python,253,1
python,254,9
python,255,1
python,256,1
python,257,9
python,258,9
python,259,1
python,260,9
python,261,9
python,262,1
python,263,9
python,264,1
python,265,1
python,266,1
python,267,9
python,268,9
python,269,8
python,270,1
python,271,9
python,272,9
python,273,9
python,274,9
python,275,9
python,276,9
python,277,9
python,278,8
python,279,8
python,280,1
python,281,9
python,282,9
python,283,9
python,284,9
python,285,9
python,286,9
python,287,8
python,288,8
python,289,1
python,290,8
python,291,8
python,292,8
python,293,9
python,294,9
python,295,8
python,296,8
python,297,8
python,298,8
python,299,8
python,300,9
