atom_id,canonical_semantic_id,direct_basis_overlap,all_basis_overlap,atom_direct_basis,atom_all_basis,uasf_basis,mapping_status,operation
EXTSEM_ACTORS,UASF_0001,0,0,1,2,3,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0002,0,0,1,2,7,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0003,0,0,1,2,6,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0004,0,0,1,2,4,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0005,0,0,1,2,5,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0006,0,0,1,2,2,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0007,0,0,1,2,5,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0008,0,0,1,2,6,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0009,0,0,1,2,4,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0010,0,0,1,2,8,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0011,0,0,1,2,4,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0012,0,0,1,2,4,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0013,0,0,1,2,5,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0014,0,0,1,2,5,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0015,0,0,1,2,6,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
EXTSEM_ACTORS,UASF_0016,0,0,1,2,3,UNRESOLVED,M_EXTSEM_B × M_UASF_B^T
