Language,Compiler,FrontendArea,PhaseClass,ObservedSemanticFeatures,SuggestedMatrix,EvidenceID,SourceURL
Python,CPython,Python.asdl-derived AST classes,PARSE,syntax_surface; node_kind; source_structure,M_LANG;M_UAST,E0001,https://github.com/python/cpython/blob/main/Doc/library/ast.rst
Python,CPython,future statements → symtable → instruction sequence → CFG,MIXED,compiletime_future; binding; control_flow,M_PHASE;M_REL,E0002,https://github.com/python/cpython/blob/main/Python/compile.c
Python,CPython,global/nonlocal/use-before-declaration checks,SEMANTIC,scope; binding; global; nonlocal; free_variable,M_LANG;M_REL,E0003,https://github.com/python/cpython/blob/main/Python/symtable.c
Python,Nuitka,high-level language forms are translated to simpler constructs,LOWERING,desugaring; control_flow; calls; classes; with; boolean_short_circuit,M_LANG;M_COMPOSE,E0004,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/Building.py
Python,Nuitka,with / async with,LOWERING,resource_scope; cleanup; exception; async; await; temporary; evaluation_order,M_REL;M_COMPOSE;M_PHASE,E0005,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/ReformulationWithStatements.py
Python,Nuitka,variable providers and closure variables,SEMANTIC,scope; binding; capture; class_scope; module_scope,M_REL,E0006,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/VariableClosure.py
Python,Nuitka,annotation construction with future-annotations behavior,MIXED,annotation; type_metadata; future_feature; compiletime_vs_runtime,M_PHASE;M_LANG,E0007,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/TreeHelpers.py
Go,gc compiler,syntax node definitions and positions,PARSE,syntax_surface; declaration; statement; expression; source_position,M_LANG,E0008,https://github.com/golang/go/blob/master/src/cmd/compile/internal/syntax/nodes.go
Go,gc compiler,parse and typecheck package before backend processing,SEMANTIC,parse; typecheck; package,M_PHASE;M_DEP,E0009,https://github.com/golang/go/blob/master/src/cmd/compile/internal/gc/main.go
Go,gc compiler,rewrite tree to explicit statements to enforce evaluation order,LOWERING,evaluation_order; temporary; addressability; map_access; channel_receive,M_REL;M_COMPOSE,E0010,https://github.com/golang/go/blob/master/src/cmd/compile/internal/walk/order.go
Go,gc compiler,shift and conversion typechecking,SEMANTIC,numeric_model; integer_shift; conversion; untyped_constant; rounding,M_LANG;M_REP,E0011,https://github.com/golang/go/blob/master/src/cmd/compile/internal/typecheck/expr.go
Go,gc compiler,range loops transformed into simpler forms,LOWERING,iteration; range; loop; binding,M_COMPOSE;M_REL,E0012,https://github.com/golang/go/blob/master/src/cmd/compile/internal/walk/range.go
Rust,rustc,Item/Expr/Pat/Stmt/Ty/Generics/Macro/Attribute families,PARSE,syntax_surface; pattern; generic; macro; attribute; mutability; binding_mode,M_LANG,E0013,https://github.com/rust-lang/rust/blob/main/compiler/rustc_ast/src/ast.rs
Rust,rustc,parsing by construct; macro expansion; AST validation; name resolution; recovery,MIXED,parse; macro_expansion; name_resolution; error_recovery,M_PHASE;M_DEP,E0014,https://github.com/rust-lang/rustc-dev-guide/blob/main/src/overview.md
Rust,rustc,AST → HIR lowers/desugars loops and async fn,LOWERING,desugaring; loop; async; function; control_flow,M_COMPOSE;M_REL,E0015,https://github.com/rust-lang/rustc-dev-guide/blob/main/src/overview.md
