language,layer,project,source_file,source_kind,compiler_node,evidence,canonical_primitive,evidence_status
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,AccessSpec,def AccessSpec : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Block,"def Block : DeclNode<Decl, ""blocks"">, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Captured,"def Captured : DeclNode<Decl>, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,CXXExpansionStmt,"def CXXExpansionStmt : DeclNode<Decl>, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Decl,"def Decl : DeclNode<?, """", 1>;",BINDING_DECLARATION,STRUCTURALLY_EVIDENCED_FAMILY
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Empty,def Empty : DeclNode<Decl>;,COMPILER_IMPLEMENTATION_DETAIL,NON_CANONICAL_COMPILER_DETAIL
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,ExplicitInstantiation,def ExplicitInstantiation : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Export,"def Export : DeclNode<Decl>, DeclContext;",MODULE,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,ExternCContext,"def ExternCContext : DeclNode<Decl>, DeclContext;",FFI_ABI,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,FileScopeAsm,def FileScopeAsm : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,Friend,def Friend : DeclNode<Decl>;,UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,FriendTemplate,def FriendTemplate : DeclNode<Friend>;,COMPILETIME,STRUCTURALLY_EVIDENCED
cpp,ast,LLVM/Clang,sources\c_cpp\LLVM_Clang\DeclNodes.td,clang_decl_node,HLSLBuffer,"def HLSLBuffer : DeclNode<Named, ""HLSLBuffer"">, DeclContext;",UNMAPPED_ORACLE_SEMANTICS,INSUFFICIENT_SEMANTIC_EVIDENCE
