canonical_semantic_id,element_type,element_id,observed_in_any_language,observed_language_count,package_evidence
UASF_0001,facet,UASF_0001,0,0,0
UASF_0001,field,abi_contract,0,0,0
UASF_0001,field,attributes,0,0,0
UASF_0001,field,calling_convention,0,0,0
UASF_0001,field,extensions,0,0,0
UASF_0001,field,id,0,0,0
UASF_0001,field,kind,0,0,0
UASF_0001,field,layout,0,0,0
UASF_0001,field,linkage,0,0,0
UASF_0001,field,semantic_facets,0,0,0
UASF_0001,field,source_span,0,0,0
UASF_0001,relation,linkage.links,0,0,0
UASF_0002,facet,UASF_0002,0,0,0
UASF_0002,field,abi_contract,0,0,0
UASF_0002,field,attributes,0,0,0
UASF_0002,field,branches,0,0,0
UASF_0002,field,calling_convention,0,0,0
UASF_0002,field,compiletime_contract,0,0,0
UASF_0002,field,condition,0,0,0
UASF_0002,field,dialect,0,0,0
UASF_0002,field,extensions,0,0,0
UASF_0002,field,id,0,0,0
UASF_0002,field,kind,0,0,0
UASF_0002,field,lowering,0,0,0
UASF_0002,field,operands,0,0,0
UASF_0002,field,operation,0,0,0
UASF_0002,field,results,0,0,0
UASF_0002,field,semantic_facets,0,0,0
UASF_0002,field,source_span,0,0,0
UASF_0002,relation,dialect.requires,0,0,0
UASF_0002,relation,operation.kind,0,0,0
UASF_0003,facet,UASF_0003,0,0,0
UASF_0003,field,abi_contract,0,0,0
UASF_0003,field,attributes,0,0,0
UASF_0003,field,binding_refs,0,0,0
UASF_0003,field,calling_convention,0,0,0
UASF_0003,field,compiletime_contract,0,0,0
UASF_0003,field,dialect,0,0,0
UASF_0003,field,extensions,0,0,0
UASF_0003,field,id,0,0,0
UASF_0003,field,kind,0,0,0
UASF_0003,field,lowering,0,0,0
UASF_0003,field,scope_id,0,0,0
UASF_0003,field,semantic_facets,0,0,0
UASF_0003,field,source_span,0,0,0
UASF_0003,field,type_ref,0,0,0
UASF_0003,field,type_shape,0,0,0
UASF_0003,relation,dialect.requires,0,0,0
UASF_0004,facet,UASF_0004,0,0,0
UASF_0004,field,abi_contract,0,0,0
UASF_0004,field,attributes,0,0,0
UASF_0004,field,calling_convention,0,0,0
UASF_0004,field,compiletime_contract,0,0,0
UASF_0004,field,extensions,0,0,0
UASF_0004,field,id,0,0,0
UASF_0004,field,kind,0,0,0
UASF_0004,field,lowering,0,0,0
UASF_0004,field,semantic_facets,0,0,0
UASF_0004,field,source_span,0,0,0
UASF_0004,field,type_ref,0,0,0
UASF_0004,field,type_shape,0,0,0
UASF_0005,facet,UASF_0005,0,0,0
UASF_0005,field,abi_contract,0,0,0
UASF_0005,field,attributes,0,0,0
UASF_0005,field,branches,0,0,0
UASF_0005,field,calling_convention,0,0,0
UASF_0005,field,condition,0,0,0
UASF_0005,field,effects,0,0,0
UASF_0005,field,extensions,0,0,0
UASF_0005,field,id,0,0,0
UASF_0005,field,kind,0,0,0
UASF_0005,field,runtime_contract,0,0,0
UASF_0005,field,semantic_facets,0,0,0
UASF_0005,field,source_span,0,0,0
UASF_0005,relation,runtime.requires,0,0,0
UASF_0006,facet,UASF_0006,0,0,0
UASF_0006,field,abi_contract,0,0,0
UASF_0006,field,attributes,0,0,0
UASF_0006,field,calling_convention,0,0,0
UASF_0006,field,conversion,0,0,0
UASF_0006,field,extensions,0,0,0
UASF_0006,field,id,0,0,0
UASF_0006,field,kind,0,0,0
UASF_0006,field,semantic_facets,0,0,0
UASF_0006,field,source_span,0,0,0
UASF_0006,field,type_ref,0,0,0
UASF_0006,relation,conversion.converts,0,0,0
UASF_0007,facet,UASF_0007,0,0,0
UASF_0007,field,abi_contract,0,0,0
UASF_0007,field,attributes,0,0,0
UASF_0007,field,calling_convention,0,0,0
UASF_0007,field,conversion,0,0,0
UASF_0007,field,extensions,0,0,0
UASF_0007,field,id,0,0,0
UASF_0007,field,kind,0,0,0
UASF_0007,field,lifetime,0,0,0
UASF_0007,field,memory_model,0,0,0
UASF_0007,field,ownership,0,0,0
